,media_id,title,cover,badge,origin,tags,pub_time,season_id,is_finish,index_show,brief,cv,staff
64,1650,Fate/Zero 第一季,http://i0.hdslb.com/bfs/bangumi/46a9b18f6f7b08e30a781cf1b44594f1fb2c9e64.jpg,独家,其他,"时泪,奇幻,战斗,热血",2011-10-01,1650,1,全13话,作为「Fate/stay night」的前传，「Fate/Zero」的故事舞台设定在第五次圣杯战争的10年前，即第四次圣杯战争；而在「Fate/stay night」中充满神秘感的卫宫切嗣则会成为「F,"{'卫宫切嗣': '小山力也', 'Saber': '川澄绫子', '爱丽丝菲尔': '大原沙耶香', '久宇舞弥': '恒松步', '言峰绮礼': '中田让治', 'Assassin': '阿部彬名', '远坂时臣': '速水奖', 'Archer': '关智一', '肯尼斯': '山崎功', '索菈乌': '..'}","{'原作': '虚渊玄\\u002FTYPE-MOON', '监督': 'あおきえい', '副监督': '恒松圭', '脚本': '桧山彬、实弥岛巧、吉田晃浩、佐藤和治、ufotable', '分镜': '高桥タクロヲ、恒松圭、栖原隆史、宇田明彦、三浦贵博、あおきえい、须藤友德、近藤光', '演出': '恒松圭、栖原隆史、宇田明彦、三浦贵博、あおきえい、须藤友德', '角色原案': '武内崇', '角色设计': '须藤友德、碇谷敦', '色彩设计': '千叶绘美', '美术监督': '卫藤功二', '摄影监督': '寺尾优一', '3D监督': '宍户幸次郎', '音乐': '梶浦由记', '音响监督': '岩浪美和', '剪辑': '神野学', '动画制作': 'ufotable'}"
65,6311,笨女孩,http://i0.hdslb.com/bfs/bangumi/c897c607f6d2e40a18cb9656aed48ea26c252721.jpg,独家,其他,"搞笑,校园",2017-07-04,6311,1,全12话,"空前绝后的笨蛋，就在这里！
笨到无可救药的女高中生·花畑佳子。
非常喜欢香蕉。
非常喜欢青梅竹马的阿君。
以上！","{'花畑佳子': '悠木碧', '阿久津明': '杉田智和', '隅野沙耶香': '原田彩枫', '风纪委员长': '上坂堇', '花畑良惠': '日笠阳子', '黑崎龙一': '八代拓', '阿久津琉璃': '千本木彩花', '押技あつこ': '佐藤利奈', '荣村茜': 'M·A·O', '柊姬衣': '前田..'}","{'原作': 'ヒロユキ', '总监督': '草川启造', '监督': '玉木慎吾', '系列构成': '青岛崇', '角色设计': '石川雅一', '美术': '大平司', '色彩设计': '上村修司', '摄影': '伊藤康行', '编辑': '小岛俊彦', '音响监督': '本山哲', '音乐': '吟（BUSTED ROSE）', '动画制作': 'diomedéa', '制作': 'NAS、单蠢女孩制作委员会'}"
66,1586,Fate/stay night [Unlimited Blade Works] 第一季,http://i0.hdslb.com/bfs/bangumi/image/e67e09c9e48a32371a81100e0f65a61b18aabb24.png,独家,其他,"奇幻,热血",2014-10-04,1586,1,全13话,Fate/stay night -UBW-是FSN的第二条路线Unlimited Blade Works的TV化作品。通过2010年1月23日上映的UBW剧场版，为我们应该已对该路线的故事情节有所了解,"{'卫宫士郎': '杉山纪彰', '远坂凛': '植田佳奈', '间桐樱': '下屋则子', '言峰绮礼': '中田让治', '吉尔伽美什': '关智一'}","{'原作': '奈须蘑菇\\u002FTYPE-MOON', '监督': '三浦贵博', '脚本': '佐藤和冶、桧山彬、一之濑树、佐藤和治、ufotable', '分镜': '笹嶋啓一、三浦贵博、野中卓也', '角色原案': '武内崇', '角色设计': '须藤友德、田畑寿之、碇谷敦', '色彩设计': '千叶绘美、松冈美佳', '美术监督': '卫藤功二', '音乐': '深泽秀行', '摄影监督': '寺尾优一', '3D监督': '宍户幸次郎', '动画制作': 'ufotable'}"
67,835,我们仍未知道那天所看见的花的名字。,http://i0.hdslb.com/bfs/bangumi/image/6c1ca4159442a6de3577bbee5e583be72b00499f.jpg,会员专享,其他,"日常,治愈,催泪",2011-04-14,835,1,全11话,从小一起长大的六个孩子，在升上高中之后彼此有了距离。不太与人们接触的宅男宿海仁太、有点被小太妹熏染的安城鸣子、进入重点高中的松雪集与鹤见知利子、放弃读高中而展开旅行的久川铁道……只有幼年死去的本间芽衣,"{'本间芽衣子': '茅野爱衣', '宿海仁太': '入野自由', '安城鸣子': '户松遥', '松雪集': '樱井孝宏', '鹤见知利子': '早见沙织', '久川铁道': '近藤孝行'}","{'脚本': '冈田麿里', '监督': '长井龙雪', '分镜·演出': '长井龙雪、伊藤智彦、吉村爱、篠原俊哉', '人物设定': ' 田中将贺', '原画': ' 松本宪生、冷水由紀絵、新井伸浩、阿部望、中村直人', '色彩设计': ' 中岛和子', '总作画监督': ' 田中将贺', '作画监督': ' 冈崎洋美、须藤智子、山本笃史', '音响监督': ' 明田川仁', '剪辑': ' 西山茂', '音乐制作': ' Aniplex、フジパシフィック音楽出版', '动画制作': ' A-1 Pictures'}"
68,1512,路人女主的养成方法,http://i0.hdslb.com/bfs/bangumi/image/20ee5a611f71b848d2136aa93ad8fbf5d1b2b23a.png,其他,其他,恋爱,2015-01-08,1512,1,全13话,春假，为了赚得购入动画 BD 而打工的宅男·安艺伦也在樱花飞舞的道路上遇到了某个少女，对该少女感兴趣的伦也以她为模特制作了相关的同人游戏。一个月後，该少女成为了他的同班同学……为了制作游戏，伦也陆续找,"{'安艺伦也': '大地葉、松岡禎丞', '泽村·史宾瑟·英梨梨': '大西沙織', '霞之丘诗羽': '茅野愛衣', '加藤惠': '安野希世乃', '冰堂美智留': '矢作紗友里', '波岛出海': '赤﨑千夏', '波岛伊织': '柿原徹也', '泽村小百合': '中原麻衣'}","{'原作': '丸戸史明', '监督': '亀井幹太', '脚本': '丸戸史明', '分镜': '小寺勝之、室井ふみえ、亀井幹太、福田道生', '演出': '神戸守、岩月甚、川越崇弘、徳本善信、曽我準、高島大輔、横田一平、亀井幹太', '人物原案': '深崎暮人', '人物设定': '高瀬智章', '系列构成': '丸戸史明', '美术监督': '日下部夏月', '色彩设计': 'ホカリカナコ', '总作画监督': '高瀬智章', '作画监督': '高瀬智章、奥田佳子、明珍宇作、野田康行、仁井学、荒川絵里花、梅津茜、広尾佳奈子', '音乐': '百石元', '音响监督': '藤田亜紀子', '音乐制作': 'フジパシフィック音楽出版', '摄影监督': '戸澤雄一郎', '动画制作': 'A-1 Pictures'}"
69,4316482,盾之勇者成名录,http://i0.hdslb.com/bfs/bangumi/de944b7c9306932d8dd3dcaeaf2eeec8670deec5.png,独家,小说改,"奇幻,魔法,架空",2019-01-02,26284,1,全25话,极为平凡的御宅族大学生·岩谷尚文，受到在图书馆发现的一本书所引导，被召唤到了异世界。他被赋予的使命，是作为装备着剑、枪、弓、盾的四圣勇者之一“盾之勇者”，驱逐给世界带来混沌的灾害“波”。因为大冒险而心,"{'岩谷尚文': '石川界人', '拉芙塔莉雅': '濑户麻沙美', '菲洛': '日高里菜', '天木錬': '松冈祯丞', '北村元康': '高桥信', '川澄树': '山谷祥生', '梅蒂·Q·梅洛马格': '内田真礼'}","{'原作': 'Aneko Yusagi（MF BOOKS《盾之勇者成名录》KADOKAWA刊）', '原作插画': '弥南星罗', '监督': '阿保孝雄', '系列构成': '小柳启伍', '角色设计 \\u002F 总作画监督': '诹访真弘', '设计主导': '高仓武史', '设计助手': '和田慎平', '怪物设计': '森贤（Gift Animation）', '动作设计': '黑田结花', '道具设计': '杉村绚子', '色彩设计': '冈松杏奈（KINEMA CITRUS）', '视觉顾问': '增山修（Inspired）', '美术': '木下晋辅（Inspired） \\u002F 西口早智子（Inspired） \\u002F 明石圣子（Studio Uni）', '3DCG监督': '越田祐史（Orange）', '2D艺术': 'hydekick', '动作图形': '上村秀胜（Sublimation）', '摄影监督': '梶原幸代（T2 studio）', '编辑': '须藤瞳（REAL-T）', '音响制作': 'Glovision', '音响监督': '乡文裕贵（Grooove）', '音乐': 'Kevin Penkin', '音乐制作人': '饭岛弘光（IRMA LA DOUCE） \\u002F 植村俊一（日本哥伦比亚）', '动画制作': 'KINEMA CITRUS', '制作': '盾之勇者制作委员会'}"
70,28223481,JOJO的奇妙冒险  星尘远征军,http://i0.hdslb.com/bfs/bangumi/image/47c0108259355d6d2c517ed97f6b90fb777f844f.png,独家,漫画改,"奇幻,战斗,冒险",2014-04-04,4185,1,全24话,时为1987年，乔瑟夫·乔斯达与“柱之男”们之间的死战后过了50年……乔瑟夫为了为了帮助“被恶灵附身了”的外孙子·空条承太郎而来到了日本。原来那并不是恶灵而是幽波纹（替身）。替身突然出现的原因在于，从,"{'空条承太郎': '小野大辅', '花京院典明': '平川大辅', '简·皮耶尔·波鲁纳雷夫': '小松史法', '乔瑟夫·乔斯达': '石冢运升', '穆罕默德·阿布德尔': '三宅健太', '伊奇': '福圆美里', '迪奥·布兰度（DIO）': '子安武人', '格雷普莱': '长克巳', '冒牌提尼尔船长': '玄田哲章', '永恒（Forever）': '山口胜平', '诅咒的迪波': '㭴井笙人', '拉伐索尔': '川田绅司', 'J·凯尔': '千叶繁', '荷尔·荷斯': '木内秀信', '妮娜': '雪野五月', 'ZZ': '岩崎征实', '恩雅婆婆': '铃木玲子', '钢铁阿丹': '岸尾大辅', '阿拉伯胖子': '坂卷学', '男孩婴儿（Mannish Boy）': '大谷育江', '卡梅欧': '有本钦隆', '蜜特拉': '久川绫', '恩多尔': '伊藤健太郎', '欧因哥': '保村真', '波因哥': '熊井统子', '阿努比斯': '松本保典', '玛莱雅': '高垣彩阳', '阿雷西': '小野坂昌也', '丹尼尔·J·达比': '银河万丈', '达伦斯·T·达比': '诹访部顺一', '瓦尼拉·艾斯': '速水奖'}","{'原作': '荒木飞吕彦', '监督': '津田尚克', '系列监督': '铃木健一', '总演出': '加藤敏幸', '总编剧': '小林靖子', '角色设计、总作画监督': '小美野雅彦', '替身设计、动作作画监督': '光田史亮', '动作作画监督': '三室健太', '替身设计·次要角色设计': '町田真一', '道具设计': '宝谷幸稔、杉山了藏', '美术设定': '青木薰、副岛惠文', '色彩设计': '佐藤裕子', '美术监督': '吉原俊一郎', '摄影监督': '山田和弘', '3DCGI监督': '桧垣贤一', '剪辑': '广濑清志', '音响监督': '岩浪美和', '音乐': '菅野佑悟', '动画制作': 'david production'}"
71,1539,我的青春恋爱物语果然有问题。,http://i0.hdslb.com/bfs/bangumi/image/8d1200b8c8b795dd3a7baae33afcec42fbd1947c.png,其他,其他,"日常,校园,智斗,恋爱",2013-04-04,1539,1,全13话,就读于千叶市立综武高等学校高二年级的比企谷八幡，从幼年时代就交不到什么朋友。正当他已经放弃了交朋友这种念头的时候，生活指导老师平冢静介绍他进入了学校第一美女——俗称校花的雪之下雪乃所在的“奉仕部”。奉,"{'比企谷八幡': '江口拓也', '雪之下雪乃': '早见沙织', '由比滨结衣': '东山奈央', '户冢彩加': '小松未可子', '材木坐义辉 ': '桧山修之', '比企谷小町': '悠木碧', '平冢静': '柚木凉香', '雪之下阳乃': '中原麻衣', '叶山隼人': '近藤隆', '三浦优美子': '井上麻里奈'}","{'原作': '渡航', '监督': '吉村爱', '系列构成': '菅正太郎', '角色设计': '进藤优', '道具设计': '樋口聪美', '美术监督': '池田繁美', '色彩设计': '辻田邦夫', '音乐': '石滨翔\\\\MONACA', '音响监督': '本山哲', '音响制作': '德尔福音响', '编辑': '关一彦', '动画制作': ""Brain's Base""}"
72,28228339,公主连结Re:Dive,http://i0.hdslb.com/bfs/bangumi/image/d8a6884c2f839a5ffe5a0637608eec7910763411.png,独家,其他,"奇幻,战斗,魔法,冒险",2020-04-06,32963,1,全13话,平静的风吹过美丽的大地——阿斯特莱亚大陆。在大陆的某个角落，失去记忆的少年佑树醒了过来。照顾他的小小指引者可可萝。总是饿肚子的美少女剑士佩可莉姆。有一点冷酷的猫耳魔法少女凯露。在命运的指引下，他们创立,"{'佩可莉姆': 'M·A·O', '凯露': '立花理香', '可可萝': '伊藤美来', '佑树': '阿部敦', '爱梅斯': '高桥李依', '拉比莉斯塔': '泽城美雪', '花凛': '洲崎绫', '美美': '日高里菜', '未奏希': '诸星堇', '镜华': '小仓唯'}","{'原作': 'Cygames', '导演 \\u002F 总编剧': '金崎贵臣', '助理导演': '春藤佳奈', '角色设计': '栗田聪美 \\u002F 杨烈骏 \\u002F 野田康行', '色彩设计': '手嶋明美', '3DCG导演': '中野祥典', '美术导演': '池田真依子', '摄影导演': '米泽寿', '剪辑': '木村佳史子', '音乐': 'Imagine', '音响导演': '金崎贵臣', '录音': '山口贵之', '音响效果': '小山恭正', '音响制作': '东北新社', '动画制作': 'CygamesPictures'}"
73,28228443,转生成为了只有乙女游戏破灭Flag的邪恶大小姐,http://i0.hdslb.com/bfs/bangumi/image/942d7b582025b1abcb1ee6e797407d4314867b02.png,会员专享,其他,"穿越,搞笑,恋爱,乙女",2020-04-05,33055,1,全12话,"公爵千金卡塔莉娜·克拉艾斯在脑袋撞到石头上时取回了前世的记忆 ，发现这里是前世所迷恋的乙女游戏“FORTUNE LOVER”的世界，自己成为了妨碍游戏主人公恋情的邪恶大小姐！
在游戏里，克拉艾斯被准","{'卡塔莉娜·克拉艾斯': '内田真礼', '吉斯·克拉艾斯': '柿原彻也 \\u002F （幼年）雨宫天', '吉奥尔多·斯提亚特': '苍井翔太 \\u002F （幼年）濑户麻沙美', '亚兰·斯提亚特': '铃木达央 \\u002F （幼年）田村睦心', '尼克尔·亚斯卡鲁特': '松冈祯丞 \\u002F （幼年）M·A·O', '索菲亚·亚斯卡鲁特': '水濑祈', '梅丽·亨特': '冈咲美保', '玛丽亚·坎贝尔': '早见沙织', '西里乌斯·迪克': '增田俊树', '安·谢利': '和气杏未'}","{'原作': '山口悟（一迅社文库IRIS／一迅社刊）', '监督': '井上圭介', '系列构成': '清水惠', '角色设计': '大岛美和', '道具设计': '泽入祐树', '美术监督': '込山明日香', '色彩设计': '重富英里', '3D监督': '小笠原努', '摄影监督': '卫藤英毅', '编辑': '泷川三智（REAL-T）', '音响监督': '龟山俊树（grooove）', '音乐': '田渕夏海 \\u002F 中村巴奈重 \\u002F 斋木达彦 \\u002F 樱井美希 \\u002F 兼松众', '音乐制作': '日音', '音乐协力': 'Myrica Music', '动画制作': 'SILVER LINK.'}"
